PurchaseDetailID,PurchaseID,ProductID,Quantity,UnitCost
117,41,27,4,37.39
118,41,29,3,23.79
119,42,34,1,80.92
120,42,35,3,54.39
121,42,36,3,50.99
122,43,33,3,30.59
123,43,35,3,54.39
124,43,36,3,50.99
125,44,32,3,47.59
126,44,33,3,30.59
127,44,35,3,54.39
128,45,31,2,81.59
129,45,32,3,47.59
130,45,33,3,30.59
131,46,27,3,37.39
132,46,29,3,23.79
133,46,30,3,40.79
134,47,27,3,37.39
135,47,29,3,23.79
136,47,30,3,40.79
137,48,27,3,37.39
138,48,29,2,23.79
139,48,32,2,47.59
140,49,36,3,50.99
141,49,27,3,37.39
142,49,33,3,30.59
143,50,35,3,54.39
144,50,36,3,50.99
145,50,27,1,37.39
146,51,33,3,30.59
147,51,35,3,54.39
148,51,36,3,50.99
149,52,35,2,54.39
150,52,36,3,50.99
151,53,36,2,50.99
152,54,38,3,20.99
153,54,39,3,24.49
154,54,40,3,10.49
155,55,45,3,27.99
156,55,46,3,38.49
157,55,47,3,31.49
158,56,39,3,24.49
159,56,40,3,10.49
160,56,41,3,13.99
161,57,46,3,38.49
162,57,47,3,31.49
163,57,48,3,27.99
164,58,40,3,10.49
165,58,41,3,13.99
166,58,42,3,48.99
167,59,47,3,31.49
168,59,48,3,27.99
169,59,49,3,59.49
170,60,41,3,13.99
171,60,42,3,48.99
172,60,43,3,20.99
173,61,48,3,27.99
174,61,49,3,59.49
175,61,37,3,38.49
176,62,42,3,48.99
177,62,43,3,20.99
178,62,44,3,34.99
179,63,49,3,59.49
180,63,37,3,38.49
181,63,38,3,20.99
182,64,43,3,20.99
183,64,44,3,34.99
184,64,45,2,27.99
185,65,37,2,38.49
186,65,38,2,20.99
187,65,39,2,24.49
188,66,44,2,34.99
189,66,45,2,27.99
190,66,46,2,38.49
191,67,38,2,20.99
192,67,39,2,24.49
193,67,40,2,10.49
194,68,45,2,27.99
195,68,46,2,38.49
196,68,47,2,31.49
197,69,39,2,24.49
198,69,40,2,10.49
199,69,41,2,13.99
200,70,46,2,38.49
201,70,47,2,31.49
202,70,48,2,27.99
203,71,40,2,10.49
204,71,41,2,13.99
205,71,42,2,48.99
206,72,47,2,31.49
207,72,48,2,27.99
208,72,49,2,59.49
209,73,41,2,13.99
210,73,42,2,48.99
211,73,43,2,20.99
212,74,48,2,27.99
213,74,49,1,59.49
214,74,37,2,38.49
215,75,46,2,38.49
216,75,47,2,31.49
217,75,48,1,27.99
218,76,41,2,13.99
219,76,42,2,48.99
220,76,43,2,20.99
221,77,37,2,38.49
222,77,38,2,20.99
223,77,39,1,24.49
224,78,44,2,34.99
225,78,45,2,27.99
226,78,46,2,38.49
227,79,41,2,13.99
228,79,42,2,48.99
229,79,43,2,20.99
230,80,37,2,38.49
231,80,38,2,20.99
232,80,40,2,10.49
233,81,45,2,27.99
234,81,46,2,38.49
235,81,47,2,31.49
236,82,45,2,27.99
237,82,47,2,31.49
238,82,37,2,38.49
239,83,43,2,20.99
240,83,44,2,34.99
241,83,45,2,27.99
242,84,41,2,13.99
243,84,42,2,48.99
244,84,43,2,20.99
245,85,38,2,20.99
246,85,40,2,10.49
247,85,41,2,13.99
248,86,47,2,31.49
249,86,37,2,38.49
250,86,38,2,20.99
251,87,44,2,34.99
252,87,45,2,27.99
253,87,47,2,31.49
254,88,37,1,38.49
255,88,38,2,20.99
256,88,40,1,10.49
257,89,45,2,27.99
258,89,38,2,20.99
259,89,41,1,13.99
260,90,41,2,13.99
261,90,42,1,48.99
262,91,43,1,20.99
263,91,44,1,34.99
264,92,45,1,27.99
265,92,41,1,13.99
266,93,45,1,27.99
267,93,42,1,48.99
268,94,44,1,34.99
269,94,45,1,27.99
270,95,43,1,20.99
271,95,44,1,34.99
272,96,42,1,48.99
273,96,43,1,20.99
274,97,44,1,34.99
275,97,45,1,27.99
276,98,45,1,27.99
277,98,43,1,20.99
278,99,43,1,20.99
279,99,44,1,34.99
280,100,44,1,34.99
281,100,45,1,27.99
282,101,43,1,20.99
283,102,52,2,26.79
284,102,53,1,56.94
285,103,51,1,14.73
286,103,52,1,26.79
287,104,50,1,10.04
288,104,51,1,14.73
289,105,57,1,160.79
290,105,50,1,10.04
291,106,56,1,100.49
292,106,57,1,160.79
293,107,55,1,63.64
294,107,56,1,100.49
295,108,54,1,73.69
296,108,55,1,63.64
297,109,53,1,56.94
298,109,54,1,73.69
299,110,52,1,26.79
300,110,53,1,56.94
301,111,51,1,14.73
302,111,52,1,26.79
303,112,50,1,10.04
304,112,51,1,14.73
305,113,57,1,160.79
306,113,50,1,10.04
307,114,56,1,100.49
308,114,57,1,160.79
309,115,55,1,63.64
310,115,56,1,100.49
311,116,54,1,73.69
312,116,55,1,63.64
313,117,53,1,56.94
314,117,54,1,73.69
315,118,52,1,26.79
316,118,53,1,56.94
317,119,51,1,14.73
318,119,52,1,26.79
319,120,50,1,10.04
320,120,51,1,14.73
321,121,57,1,160.79
322,121,50,1,10.04
323,122,50,1,10.04
324,122,51,1,14.73
325,123,50,1,10.04
326,123,51,1,14.73
327,124,50,1,10.04
328,124,51,1,14.73
329,125,50,1,10.04
330,125,51,1,14.73
331,126,50,1,10.04
332,126,51,1,14.73
333,127,50,1,10.04
334,127,51,1,14.73
335,128,50,1,10.04
336,128,51,1,14.73
337,129,50,1,10.04
338,129,51,1,14.73
339,130,50,1,10.04
340,130,51,1,14.73
341,131,50,1,10.04
342,131,51,1,14.73
343,132,50,1,10.04
344,132,51,1,14.73
345,133,52,1,26.79
346,133,53,1,56.94
347,134,53,1,56.94
348,134,54,1,73.69
349,135,54,1,73.69
350,135,55,1,63.64
351,136,55,1,63.64
352,136,56,1,100.49
353,137,56,1,100.49
354,137,50,1,10.04
355,138,50,1,10.04
356,138,52,1,26.79
357,139,52,1,26.79
358,139,53,1,56.94
359,140,50,1,10.04
360,140,52,1,26.79
361,141,54,1,73.69
362,141,55,1,63.64
363,142,56,1,100.49
364,142,50,1,10.04
365,143,52,1,26.79
366,143,54,1,73.69
367,144,55,1,63.64
368,144,56,1,100.49
369,145,50,1,10.04
370,145,52,1,26.79
371,146,54,1,73.69
372,146,55,1,63.64
373,147,56,1,100.49
374,147,50,1,10.04
375,148,52,1,26.79
376,148,54,1,73.69
377,149,55,1,63.64
378,149,56,1,100.49
379,150,54,1,73.69
380,150,56,1,100.49
381,151,52,1,26.79
382,151,54,1,73.69
383,152,54,1,73.69
384,152,50,1,10.04
385,153,52,1,26.79
386,153,50,1,10.04
387,154,50,1,10.04
388,154,52,1,26.79
389,155,52,1,26.79
390,156,52,2,26.79
391,157,52,2,26.79
392,158,52,2,26.79
393,159,52,2,26.79
394,160,52,2,26.79
395,161,50,6,10.04
396,161,51,6,14.73
397,162,12,7,17.81
398,162,13,7,36.29
399,163,18,2,61.19
400,163,19,2,47.59
401,164,35,3,54.39
402,164,36,3,50.99
403,165,45,4,27.99
404,165,46,4,38.49
405,166,46,5,38.49
406,166,47,5,31.49
407,167,2,6,646.79
408,167,3,6,428.99
409,168,3,7,428.99
410,168,4,7,844.14
411,169,24,2,7.47
412,169,25,2,13.59
413,170,30,3,40.79
414,170,31,3,81.59
415,171,38,4,20.99
416,171,39,4,24.49
417,172,7,5,461.99
418,172,8,5,145.19
419,173,8,6,145.19
420,173,9,6,217.79
421,174,19,7,47.59
422,174,20,7,88.39
423,175,35,2,54.39
424,175,36,2,50.99
425,176,43,3,20.99
426,176,44,3,34.99
427,177,50,4,10.04
428,177,51,4,14.73
429,178,13,5,36.29
430,178,14,5,98.99
431,179,24,6,7.47
432,179,25,6,13.59
433,180,29,7,23.79
434,180,30,7,40.79
435,181,48,2,27.99
436,181,49,2,59.49
437,182,55,3,63.64
438,182,56,3,100.49
439,183,3,4,428.99
440,183,4,4,844.14
441,184,19,5,47.59
442,184,20,5,88.39
443,185,34,6,80.92
444,185,35,6,54.39
445,186,40,7,10.49
446,186,41,7,13.99
447,187,52,2,26.79
448,187,53,2,56.94
449,188,8,3,145.19
450,188,9,3,217.79
451,189,24,4,7.47
452,189,25,4,13.59
453,190,28,5,67.99
454,190,29,5,23.79
455,191,45,6,27.99
456,191,46,6,38.49
457,192,57,7,160.79
458,192,50,7,10.04
459,193,13,2,36.29
460,193,14,2,98.99
461,194,14,3,98.99
462,194,15,3,29.69
463,195,33,4,30.59
464,195,34,4,80.92
465,196,37,5,38.49
466,196,38,5,20.99
467,197,38,6,20.99
468,197,39,6,24.49
469,198,3,7,428.99
470,198,4,7,844.14
471,199,4,2,844.14
472,199,5,2,560.34
473,200,25,3,13.59
474,200,16,3,37.39
